SRA,Sample name,BioSample,Organism,Accession,ID
SRS24336545,VXV19518,SAMN44769107,human skin metagenome,SAMN44769107,44769107
SRS24336543,VXV19517,SAMN44769106,human skin metagenome,SAMN44769106,44769106
SRS24336544,VXV19516,SAMN44769105,human skin metagenome,SAMN44769105,44769105
SRS24336542,VXV19515,SAMN44769104,human skin metagenome,SAMN44769104,44769104
SRS24336541,VXV19514,SAMN44769103,human skin metagenome,SAMN44769103,44769103
SRS24336540,VXV19512,SAMN44769102,human skin metagenome,SAMN44769102,44769102
SRS24336539,VXV19511,SAMN44769101,human skin metagenome,SAMN44769101,44769101
SRS24336538,VXV19510,SAMN44769100,human skin metagenome,SAMN44769100,44769100
SRS24336537,VXV19509,SAMN44769099,human skin metagenome,SAMN44769099,44769099
SRS24336536,VXV19508,SAMN44769098,human skin metagenome,SAMN44769098,44769098
SRS24336534,VXV19507,SAMN44769097,human skin metagenome,SAMN44769097,44769097
SRS24336533,VXV19506,SAMN44769096,human skin metagenome,SAMN44769096,44769096
SRS24336532,VXV19505,SAMN44769095,human skin metagenome,SAMN44769095,44769095
SRS24336531,VXV19504,SAMN44769094,human skin metagenome,SAMN44769094,44769094
SRS24336473,VXV19503,SAMN44769093,human skin metagenome,SAMN44769093,44769093
SRS24336474,VXV18205,SAMN44769092,human skin metagenome,SAMN44769092,44769092
SRS24336472,VXV18204,SAMN44769091,human skin metagenome,SAMN44769091,44769091
SRS24336471,VXV18203,SAMN44769090,human skin metagenome,SAMN44769090,44769090
SRS24336470,VXV18202,SAMN44769089,human skin metagenome,SAMN44769089,44769089
SRS24336469,VXV18201,SAMN44769088,human skin metagenome,SAMN44769088,44769088
SRS24336467,VXV18200,SAMN44769087,human skin metagenome,SAMN44769087,44769087
SRS24336466,VXV18199,SAMN44769086,human skin metagenome,SAMN44769086,44769086
SRS24336464,VXV18198,SAMN44769085,human skin metagenome,SAMN44769085,44769085
SRS24336465,VXV18197,SAMN44769084,human skin metagenome,SAMN44769084,44769084
SRS24336463,VXV18196,SAMN44769083,human skin metagenome,SAMN44769083,44769083
SRS24336460,VXV18195,SAMN44769082,human skin metagenome,SAMN44769082,44769082
